id,question,cypher_query,sql_query_2,sql_query_3
38,(genera)Prevotellaceae，Ruminococcaceae，Lachnospiraceae中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Prevotellaceae"",""Ruminococcaceae"",""Lachnospiraceae""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Prevotellaceae','Ruminococcaceae','Lachnospiraceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR')"
39,Eubacterium，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Eubacterium"",""Treponema bryantii""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Eubacterium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Prkaa2','Prkaa1')"
40,Bacteroides是否对生猪饲养效率是显著相关的？它产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Gcg','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas')"
41,(genera) Clostridium，Treponema中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium"",""Treponema""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Clostridium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Prkaa2','Prkaa1','Gcg','Il6','Tnf','Il1b','Nos2','Chrm2','Tlr2','Srebf1','Fas','Srebf2','Hmgcr')"
42,Lactobacillus，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Lactobacillus"",""Lactobacillaceae"",""Treponema bryantii""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Lactobacillus','Lactobacillaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL22','Tjp1','Arg1')"
43,Desulfovibrionaceae是否对生猪饲养效率是显著相关的？它产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Desulfovibrionaceae"",""Treponema porcinum"",""Treponema""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Desulfovibrionaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Ahr')"
44,生猪饲养效率的提高会导致哪些微生物群的数量增加？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:FE{name:""FE""})-[r:increase]->(o:MicrobiotaName) return o","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Cellulosilyticum','Leeia','Subdoligranulum','Rothia','Methanobrevibacter','Bacteroides','Lactobacillus','Oscillibacter','Ruminococcaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','IL22','Gcg','Tjp1','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas','Arg1')"
45,哪些微生物群与生猪饲养效率显著相关？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Anaerovibrio','Dorea','Eubacterium','Bacteroides','Clostridium','Lactobacillus','Oscillibacter','Ruminococcus','Faecalibacterium','Desulfovibrionaceae','Rikenellaceae','Streptococcaceae','Lactobacillaceae','Prevotellaceae','Ruminococcaceae','Lachnospiraceae','Lactobacillus johnsonii L531')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR','BCL2','CASP3','IL22','Prkaa2','Prkaa1','Gcg','Il6','Tnf','Il1b','Nos2','Chrm2','Fas','Arg1','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas','Arg1','Ahr','Srebf','Srebf2','Hmgcr')"
46,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下Pvalue在0.2与0.21之间？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue>0.2 and r.pvalue<0.21 AND r.condition='""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""' return s.name,r","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Eubacteriaceae','Moraxellaceae','Acinetobacter','Anaeroplasma','Cellulosilyticum','Eubacterium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Prkaa2','Prkaa1')"
47,"哪些微生物群关联于生猪饲养效率，在""Fresh / Fresh+enzyme""条件下Pvalue=0.19？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue=0.19 and r.condition_name='Fresh / Fresh+enzyme' RETURN DISTINCT s.name,r","Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Defluviitaleaceae','Enterobacteriaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Slco4c1','Tnf','Ccl2','Tgfb1','Fn1','Col1a1')"
48,哪些微生物群关联于生猪饲养效率且Pvalue在0.28与0.288之间？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？,match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue>0.28 and r.pvalue<0.288 RETURN DISTINCT s.name,"Select Distinct gene_symbol,relationship from has_expression_change_results_by_metabolite hecrbm join gutmgene.gut_microbiota_metabolite_generation_results gmmgr where hecrbm.`index` = gmmgr.`index`and relationship in ('Deltaproteobacteria','Eubacteriaceae','Alloprevotella','Cloacibacillus','Clostridium XlVa','Clostridium XlVb','Collinsella','Dorea','Dysgonomonas','Eubacterium','Holdemanella','Lysinibacillus','Pseudochrobactrum','Pseudomonas','Sutterella','Pseudomonadales','Euryarchaeota')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Prkaa2','Prkaa1')"
49,"(genera)Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Dorea"",""Eubacterium"",""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Dorea','Eubacterium','Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Prkaa2','Prkaa1') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
50,"(genera)Clostridium，Lactobacillus，Oscillibacter中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium"",""Lactobacillus"",""Oscillibacter""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Clostridium','Lactobacillus','Oscillibacter')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL22','MAPK14','Prkaa2','Prkaa1','Gcg','Tjp1','Il6','Tnf','Il1b','Nos2','Chrm2','Tlr2','Arg1','Srebf1','Fas','Srebf2','Hmgcr') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
51,"(families)Prevotellaceae，Ruminococcaceae，Lachnospiraceae中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Prevotellaceae"",""Ruminococcaceae"",""Lachnospiraceae""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Prevotellaceae','Ruminococcaceae','Lachnospiraceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
52,"Eubacterium，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Eubacterium"",""Treponema bryantii""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Eubacterium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Prkaa2','Prkaa1') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
53,"Bacteroides是否对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Gcg','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
54,"Clostridium，Treponema中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium"",""Treponema""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Clostridium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Prkaa2','Prkaa1','Gcg','Il6','Tnf','Il1b','Nos2','Chrm2','Tlr2','Srebf1','Fas','Srebf2','Hmgcr') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
55,"Lactobacillus，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Lactobacillus"",""Treponema bryantii""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Lactobacillus')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL22','MAPK14','Tjp1','Arg1') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
56,"生猪饲养效率的提高会导致哪些微生物群的数量增加？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:FE{name:""FE""})-[r:increase]->(o:MicrobiotaName) return o","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Cellulosilyticum','Leeia','Subdoligranulum','Rothia','Methanobrevibacter','Bacteroides','Lactobacillus','Oscillibacter','Ruminococcaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','MAPK14','BAX','CASP3','IL22','Gcg','Tjp1','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas','Arg1') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
57,"哪些微生物群与生猪饲养效率显著相关？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Anaerovibrio','Dorea','Eubacterium','Bacteroides','Clostridium','Lactobacillus','Oscillibacter','Ruminococcus','Faecalibacterium','Desulfovibrionaceae','Rikenellaceae','Streptococcaceae','Lactobacillaceae','Prevotellaceae','Ruminococcaceae','Lachnospiraceae','Lactobacillus johnsonii L531')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR','MAPK14','BCL2','CASP3','IL22','Prkaa2','Prkaa1','Gcg','Il6','Tnf','Il1b','Nos2','Chrm2','Fas','Arg1','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas','Arg1','Ahr','Srebf','Srebf2','Hmgcr') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
58,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下Pvalue在0.2与0.21之间？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue>0.2 and r.pvalue<0.21 AND r.condition='""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""' return s.name,r","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Eubacteriaceae','Moraxellaceae','Acinetobacter','Anaeroplasma','Cellulosilyticum','Eubacterium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Prkaa2','Prkaa1') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
59,"哪些微生物群关联于生猪饲养效率，在""Fresh / Fresh+enzyme""条件下Pvalue=0.19？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:Microbiota)-[r:ASSOCIATED_WITH]->(o) where r.pvalue=0.19 and r.condition_name='Fresh / Fresh+enzyme' RETURN DISTINCT s.name,r","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results  gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Defluviitaleaceae','Enterobacteriaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Slco4c1','Tnf','Ccl2','Tgfb1','Fn1','Col1a1') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
60,"(genera) Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？","match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Dorea"",""Eubacterium"",""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and gmgcr.Alteration = 'increase' and relationship in ('Dorea','Eubacterium','Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BAX','CASP3','Prkaa2','Prkaa1','Nr1h4','Fgf15','Fgfr4','Fas') and (pathway like '%hsa04060%' or pathway like '%hsa04061%' or pathway like '%hsa04062%'or pathway like '%hsa01521%'or pathway like '%mmu01521%'or pathway like'%hsa04066%'or pathway like'%hsa01524%'or pathway like'%mmu04152%'or pathway like'%mmu04010%'or pathway like'%mmu00220%'or pathway like'%hsa04659%'or pathway like'%mmu04714%')"
